initial_guess,level,require_v_sum,optimiser,loss_type,constraint_strictness,loss,time
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.030241489
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.724845409
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.66523558,4.360687733
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.658459663
equal,single,FALSE,SLSQP,RSS,0,810.1063518,0.006840229
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.856953382
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006904125
equal,nested,FALSE,Nelder-Mead,RSS,1.00E-08,58.66785485,3.569892645
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006966829
reg,single,TRUE,SLSQP,RSS,0,71.74693031,0.006833315
equal,single,TRUE,SLSQP,RSS,0.05,810.1063518,0.006953478
reg,nested,FALSE,Nelder-Mead,RSS,0,57.36416481,2.848398924
equal,nested,FALSE,Nelder-Mead,l2,0.01,7.659511007,3.402817488
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.006998301
reg,nested,FALSE,Nelder-Mead,RSS,0.01,57.36416481,2.882265806
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.007055044
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.392789841
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006934404
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.46688986
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.007339239
equal,nested,FALSE,Nelder-Mead,RSS,1.00E-08,58.66785485,3.666768312
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.007062912
reg,nested,FALSE,SLSQP,RSS,0,59.726042,1.597923756
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.885193825
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.422174692
reg,single,TRUE,SLSQP,RSS,0.05,71.74693031,0.006956816
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.178068399
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.006688118
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.020232439
reg,nested,FALSE,Nelder-Mead,RSS,1.00E-08,57.36416481,2.855243683
reg,nested,FALSE,SLSQP,l2,0.05,7.541461701,1.866212845
equal,single,TRUE,SLSQP,l2,0.01,28.46236729,0.007074833
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.00707984
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.007096529
reg,nested,FALSE,Nelder-Mead,l2,0.05,7.5740208,2.348638773
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36450711,3.017362595
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.455832243
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.007044077
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.54080153
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.53277135
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.750300169
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.049755096
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.007038116
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.610193729
reg,nested,FALSE,SLSQP,RSS,0.01,56.03416174,2.343831301
equal,single,TRUE,SLSQP,l2,0,28.46236729,0.007071495
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.431829453
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.151192188
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47858216,5.243368149
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.239588022
equal,nested,FALSE,L-BFGS-B,RSS,0.01,380.162874,8.259834766
reg,single,TRUE,SLSQP,RSS,0.05,71.74693031,0.00719285
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.006608009
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.006358385
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006297827
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.550589561
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.406032801
reg,nested,TRUE,SLSQP,RSS,1.00E-08,57.3720952,2.955601454
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.423605204
equal,nested,FALSE,L-BFGS-B,l2,0,7.525476573,8.779335499
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.007057905
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006690502
equal,nested,FALSE,Nelder-Mead,l2,0.01,7.659511007,3.357914925
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.006935596
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.006377459
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.554200411
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.730602264
equal,nested,TRUE,SLSQP,RSS,0,56.37413839,6.8203578
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.84731555
equal,nested,FALSE,Nelder-Mead,RSS,0,125.850914,4.064292908
reg,single,FALSE,SLSQP,RSS,0,71.74693031,0.00836277
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006961584
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.66523558,4.461828709
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.774282455
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.561473608
equal,nested,TRUE,SLSQP,RSS,0,56.37413839,6.910977364
reg,single,FALSE,SLSQP,RSS,0.01,71.74693031,0.006940365
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.006929636
reg,nested,TRUE,SLSQP,RSS,1.00E-08,57.3720952,2.931335688
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.401961088
equal,nested,FALSE,Nelder-Mead,l2,0,11.21861865,3.330036163
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.00690341
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.353299379
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006037712
reg,single,TRUE,SLSQP,l2,0.01,8.470355973,0.007143974
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47852211,6.205401182
reg,single,FALSE,SLSQP,RSS,0.01,71.74693031,0.006148577
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.016140938
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.006218672
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.900900364
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.824460506
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.007221937
reg,single,TRUE,SLSQP,l2,0.05,8.470355973,0.006934166
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.458571672
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006129503
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.028935194
equal,nested,FALSE,Nelder-Mead,RSS,1.00E-08,58.66785485,3.549623966
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006095648
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.006084442
